Event(73)[affAgent=Agent [id=-1, qualif=-1, currentClock=0, estimatedEnd=0], affVehicle=null, EVENT_TYPE=NO_ACTION, affectedNode=(73), startTime=360, timeWindow=1110 +  || P: 0 Source: null]
Event(74)[affAgent=Agent [id=-1, qualif=-1, currentClock=0, estimatedEnd=0], affVehicle=null, EVENT_TYPE=NO_ACTION, affectedNode=(74), startTime=360, timeWindow=510 +  || P: 0 Source: null]
Event(76)[affAgent=Agent [id=-1, qualif=-1, currentClock=0, estimatedEnd=0], affVehicle=null, EVENT_TYPE=NO_ACTION, affectedNode=(76), startTime=360, timeWindow=1080 +  || P: 0 Source: null]
Event(77)[affAgent=Agent [id=-1, qualif=-1, currentClock=0, estimatedEnd=0], affVehicle=null, EVENT_TYPE=NO_ACTION, affectedNode=(77), startTime=360, timeWindow=525 +  || P: 0 Source: null]
Event(80)[affAgent=Agent [id=-1, qualif=-1, currentClock=0, estimatedEnd=0], affVehicle=null, EVENT_TYPE=NO_ACTION, affectedNode=(80), startTime=360, timeWindow=540 +  || P: 0 Source: null]
Event(82)[affAgent=Agent [id=-1, qualif=-1, currentClock=0, estimatedEnd=0], affVehicle=null, EVENT_TYPE=NO_ACTION, affectedNode=(82), startTime=360, timeWindow=540 +  || P: 0 Source: null]
Event(83)[affAgent=Agent [id=-1, qualif=-1, currentClock=0, estimatedEnd=0], affVehicle=null, EVENT_TYPE=NO_ACTION, affectedNode=(83), startTime=360, timeWindow=480 +  || P: 0 Source: null]
Event(2)[affAgent=Agent [id=-1, qualif=-1, currentClock=0, estimatedEnd=0], affVehicle=null, EVENT_TYPE=NO_ACTION, affectedNode=(2), startTime=660, timeWindow=720 +  || P: 0 Source: null]
Event(8)[affAgent=Agent [id=-1, qualif=-1, currentClock=0, estimatedEnd=0], affVehicle=null, EVENT_TYPE=NO_ACTION, affectedNode=(8), startTime=660, timeWindow=765 +  || P: 0 Source: null]
Event(11)[affAgent=Agent [id=-1, qualif=-1, currentClock=0, estimatedEnd=0], affVehicle=null, EVENT_TYPE=NO_ACTION, affectedNode=(11), startTime=660, timeWindow=765 +  || P: 0 Source: null]
Event(13)[affAgent=Agent [id=-1, qualif=-1, currentClock=0, estimatedEnd=0], affVehicle=null, EVENT_TYPE=NO_ACTION, affectedNode=(13), startTime=660, timeWindow=795 +  || P: 0 Source: null]
Event(14)[affAgent=Agent [id=-1, qualif=-1, currentClock=0, estimatedEnd=0], affVehicle=null, EVENT_TYPE=NO_ACTION, affectedNode=(14), startTime=660, timeWindow=750 +  || P: 0 Source: null]
Event(23)[affAgent=Agent [id=-1, qualif=-1, currentClock=0, estimatedEnd=0], affVehicle=null, EVENT_TYPE=NO_ACTION, affectedNode=(23), startTime=660, timeWindow=750 +  || P: 0 Source: null]
Event(24)[affAgent=Agent [id=-1, qualif=-1, currentClock=0, estimatedEnd=0], affVehicle=null, EVENT_TYPE=NO_ACTION, affectedNode=(24), startTime=660, timeWindow=765 +  || P: 0 Source: null]
Event(31)[affAgent=Agent [id=-1, qualif=-1, currentClock=0, estimatedEnd=0], affVehicle=null, EVENT_TYPE=NO_ACTION, affectedNode=(31), startTime=660, timeWindow=795 +  || P: 0 Source: null]
Event(35)[affAgent=Agent [id=-1, qualif=-1, currentClock=0, estimatedEnd=0], affVehicle=null, EVENT_TYPE=NO_ACTION, affectedNode=(35), startTime=660, timeWindow=780 +  || P: 0 Source: null]
Event(42)[affAgent=Agent [id=-1, qualif=-1, currentClock=0, estimatedEnd=0], affVehicle=null, EVENT_TYPE=NO_ACTION, affectedNode=(42), startTime=660, timeWindow=795 +  || P: 0 Source: null]
Event(43)[affAgent=Agent [id=-1, qualif=-1, currentClock=0, estimatedEnd=0], affVehicle=null, EVENT_TYPE=NO_ACTION, affectedNode=(43), startTime=660, timeWindow=780 +  || P: 0 Source: null]
Event(45)[affAgent=Agent [id=-1, qualif=-1, currentClock=0, estimatedEnd=0], affVehicle=null, EVENT_TYPE=NO_ACTION, affectedNode=(45), startTime=660, timeWindow=795 +  || P: 0 Source: null]
Event(50)[affAgent=Agent [id=-1, qualif=-1, currentClock=0, estimatedEnd=0], affVehicle=null, EVENT_TYPE=NO_ACTION, affectedNode=(50), startTime=660, timeWindow=795 +  || P: 0 Source: null]
Event(54)[affAgent=Agent [id=-1, qualif=-1, currentClock=0, estimatedEnd=0], affVehicle=null, EVENT_TYPE=NO_ACTION, affectedNode=(54), startTime=660, timeWindow=765 +  || P: 0 Source: null]
